"country","year","iso","old_dep","youth_dep","tot_dep","cc","adj_factor","qamys_piaac","wic_mys","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","qamys_dhs_full","qamys_dhs_part","edu_exp_","tp_","hlo","qamys","adj_fact_dhs","year_1970","year_1975","year_1980","year_1985","year_1990","year_1995","year_2000","year_2005","year_2010","year_2015","fit1","lwr1","upr1","qamys_pred","plot"
"Afghanistan",1970,4,0.05,0.83,0.88,"Afghanistan",NA,NA,0.56,0.018,0.541573761058764,0.432199884916924,0.0262263540243113,0.87108177,NA,NA,0.0123514,39.24977,353.09,NA,NA,1,0,0,0,0,0,0,0,0,0,0.166085146347465,0.155010028431525,0.177951556530706,0.166085146347465,3
"Afghanistan",1975,4,0.05,0.86,0.91,"Afghanistan",NA,NA,0.74,0.0259999999999999,0.553472961591635,0.42117306806083,0.0253539703475345,0.81842316,NA,NA,0.0152157,36.5322,362.39001,NA,NA,0,1,0,0,0,0,0,0,0,0,0.229907671720711,0.215312669530967,0.245491998363041,0.229907671720711,3
"Afghanistan",1980,4,0.05,0.89,0.94,"Afghanistan",NA,NA,0.96,0.038,0.563348125524468,0.412535814994292,0.0241160594812401,0.80280991,NA,NA,0.0182669,37.87589,372,NA,NA,0,0,1,0,0,0,0,0,0,0,0.297007092958397,0.278274220664033,0.31700102530913,0.297007092958397,3
"Afghanistan",1985,4,0.04,0.95,0.99,"Afghanistan",NA,NA,1.2,0.0510000000000001,0.578981561423455,0.399100724036826,0.0219177145397194,0.75886818,NA,NA,0.0245464,36.40558,381.91,NA,NA,0,0,0,1,0,0,0,0,0,0,0.38180622707625,0.358114749677452,0.407065040369042,0.38180622707625,3
"Afghanistan",1990,4,0.04,0.98,1.03,"Afghanistan",NA,NA,1.39,0.063,0.588533480361096,0.389552251088307,0.021914268550597,0.70925781,NA,NA,0.0244999,49.26471,392.14001,NA,NA,0,0,0,0,1,0,0,0,0,0,0.471869788948219,0.443740084236404,0.501782700350807,0.471869788948219,3
"Afghanistan",1995,4,0.05,0.98,1.02,"Afghanistan",NA,NA,1.55,0.0690000000000001,0.588272126363792,0.388725788444612,0.0230020851915954,0.65703362,NA,NA,0.0267133,32.64443,402.70999,NA,NA,0,0,0,0,0,1,0,0,0,0,0.532762796662813,0.511926080485331,0.554447621107507,0.532762796662813,3
"Afghanistan",2000,4,0.05,1.01,1.05,"Afghanistan",NA,NA,1.72,0.0759999999999999,0.595026491198086,0.382820432907396,0.0221530758945178,0.60293983,NA,NA,0.033177,31.86219,313.36749,NA,NA,0,0,0,0,0,0,1,0,0,0,0.595368954245917,0.576498547792896,0.614857041768674,0.595368954245917,3
"Afghanistan",2005,4,0.04,0.97,1.02,"Afghanistan",NA,NA,2.03,0.0889999999999999,0.588478332126078,0.39003387059571,0.0214877972782123,0.5429303,NA,NA,0.0284945,42.91563,401.54001,NA,NA,0,0,0,0,0,0,0,1,0,0,0.802539778837507,0.777543452661536,0.828339682382894,0.802539778837507,3
"Afghanistan",2010,4,0.05,0.98,1.03,"Afghanistan",NA,NA,2.51,0.112,0.588485923173812,0.38913048067383,0.0223835961523576,0.68258881,NA,NA,0.0287031,44.58134,398.14999,NA,NA,0,0,0,0,0,0,0,0,1,0,0.842516989826879,0.808325540020281,0.878154707482254,0.842516989826879,3
"Afghanistan",2015,4,0.05,0.84,0.89,"Afghanistan",0.2651454776,NA,3.17,0.139,0.562305129755427,0.4127662979692,0.0249285722753731,0.56980282,1.05063895499,0.78085493843,0.0287094,46.18569,433.92001,0.840511163992,0.2651454776,0,0,0,0,0,0,0,0,0,1,1.25795866996906,1.21303011383568,1.30455130280854,0.840511163992,3
"Albania",1970,8,0.1,0.76,0.86,"Albania",NA,NA,5.52,0.171,0.507579280200874,0.440481726029945,0.0519389937691807,0.45361618,NA,NA,0.0213403,24.05337,412.34,NA,NA,1,0,0,0,0,0,0,0,0,0,2.96954617877394,2.83427923801834,3.11126878029011,2.96954617877394,2
"Albania",1975,8,0.09,0.69,0.79,"Albania",NA,NA,6.63,0.228,0.496910380292788,0.4511259486584,0.0519636710488118,0.37975117,NA,NA,0.0250327,19.13892,427.87,NA,NA,0,1,0,0,0,0,0,0,0,0,3.88584753091737,3.71705488963135,4.06230509957149,3.88584753091737,2
"Albania",1980,8,0.09,0.61,0.7,"Albania",NA,NA,7.67,0.289,0.47187826346412,0.47512307921826,0.052998657317619,0.31633141,NA,NA,0.0305119,17.94964,480.24084,NA,NA,0,0,1,0,0,0,0,0,0,0,4.94047813038957,4.72082194426805,5.17035474860343,4.94047813038957,2
"Albania",1985,8,0.09,0.56,0.65,"Albania",NA,NA,8.52,0.348,0.443069974383174,0.502932452474046,0.0539975731427801,0.26108137,NA,NA,0.0269645,17.73649,458.84,NA,NA,0,0,0,1,0,0,0,0,0,0,5.67875081539393,5.43816961636091,5.9299751751614,5.67875081539393,2
"Albania",1990,8,0.09,0.53,0.62,"Albania",NA,NA,9.15,0.396,0.424409568794758,0.520554624409569,0.0550358067956727,0.21345938,NA,NA,0.0344698,15.68515,457.15601,NA,NA,0,0,0,0,1,0,0,0,0,0,6.49544287844613,6.22384979810203,6.77888759462393,6.49544287844613,2
"Albania",1995,8,0.11,0.54,0.64,"Albania",NA,NA,9.53,0.424,0.421926803360479,0.513631827984678,0.0644413686548428,0.1743873,NA,NA,0.0348151,22.75761,481.202,NA,NA,0,0,0,0,0,1,0,0,0,0,6.85603349012625,6.72623413083225,6.98833764978036,6.85603349012625,2
"Albania",2000,8,0.11,0.48,0.6,"Albania",NA,NA,9.92,0.453,0.394939141575913,0.534304932735426,0.0707559256886611,0.012870178,NA,NA,0.0209072,21.93856,400.65,NA,NA,0,0,0,0,0,0,1,0,0,0,8.27942736342412,8.08444534719998,8.47911198879683,8.27942736342412,2
"Albania",2005,8,0.13,0.41,0.54,"Albania",NA,NA,10.19,0.476,0.368698976286121,0.545613580406894,0.0856874433069846,0.040613632,NA,NA,0.0324965,19.79287,399.32,NA,NA,0,0,0,0,0,0,0,1,0,0,8.30271527468368,8.13124079060893,8.47780587337685,8.30271527468368,2
"Albania",2010,8,0.16,0.34,0.5,"Albania",0.7956135728,NA,10.37,0.493,0.322633297062024,0.569266866158868,0.108099836779108,0.029538651,10.31314093742,9.55843963126,0.0035393,19.41964,402.75,8.250512749936,0.7956135728,0,0,0,0,0,0,0,0,1,0,8.68300110564908,8.5017839428237,8.86808094721616,8.250512749936,2
"Albania",2015,8,0.18,0.26,0.44,"Albania",0.7988217056,NA,10.57,0.517,0.265795505079875,0.60883248383676,0.125372011083365,0.018588486,10.55443178524,10.27772525164,0.0336974,18.08292,436.73,8.443545428192,0.7988217056,0,0,0,0,0,0,0,0,0,1,9.2757412089178,9.09903593431966,9.45587813872603,8.443545428192,2
"Algeria",1970,12,0.07,0.94,1.02,"Algeria",NA,NA,1.86,0.0290000000000001,0.57852233676976,0.386323024054983,0.0351546391752577,0.73225815,NA,NA,0.0393853,40.00059,486.20001,NA,NA,1,0,0,0,0,0,0,0,0,0,0.71954778303145,0.672900021736499,0.769429328787003,0.71954778303145,2
"Algeria",1975,12,0.07,0.94,1.01,"Algeria",NA,NA,2.73,0.0510000000000001,0.577035405644794,0.387002369951883,0.0359622244033227,0.66041801,NA,NA,0.0718201,39.35215,486.20001,NA,NA,0,1,0,0,0,0,0,0,0,0,1.12909724326786,1.05989998229478,1.20281215779898,1.12909724326786,2
"Algeria",1980,12,0.07,0.92,0.99,"Algeria",NA,NA,3.7,0.083,0.573785920766172,0.391778753419486,0.0344353258143419,0.5809679,NA,NA,0.0659742,33.53637,486.20001,NA,NA,0,0,1,0,0,0,0,0,0,0,1.64377744132502,1.54951200634407,1.74377756709621,1.64377744132502,2
"Algeria",1985,12,0.07,0.89,0.95,"Algeria",NA,NA,4.79,0.123,0.562968904408865,0.403134818465029,0.0338962771261062,0.50369122,NA,NA,0.0508133,27.9779,219.3,NA,NA,0,0,0,1,0,0,0,0,0,0,1.90778033138762,1.80382386295651,2.01772793207428,1.90778033138762,2
"Algeria",1990,12,0.06,0.81,0.88,"Algeria",NA,NA,5.87,0.171,0.544866550377425,0.421346536793196,0.033786912829379,0.42782051,NA,NA,0.0450366,27.68756,219.3,NA,NA,0,0,0,0,1,0,0,0,0,0,2.57335716097585,2.44034300179166,2.71362143480807,2.57335716097585,2
"Algeria",1995,12,0.06,0.7,0.77,"Algeria",NA,NA,6.89,0.222,0.514010026189875,0.449469456101687,0.0365205177084378,0.35962315,NA,NA,0.0400918,27.5337,340.81897,NA,NA,0,0,0,0,0,1,0,0,0,0,3.3885483227593,3.32036244190534,3.45813444663769,3.3885483227593,2
"Algeria",2000,12,0.07,0.56,0.63,"Algeria",NA,NA,7.65,0.275,0.463846380789902,0.492803909747431,0.0433497094626663,0.30126503,NA,NA,0.0400722,27.57514,375.815,NA,NA,0,0,0,0,0,0,1,0,0,0,4.19818389392512,4.1245458499568,4.27313664300686,4.19818389392512,2
"Algeria",2005,12,0.07,0.44,0.52,"Algeria",NA,NA,8.44,0.342,0.407776876633324,0.542831395872758,0.0493917274939173,0.26107635,NA,NA,0.0433702,24.01662,390.17,NA,NA,0,0,0,0,0,0,0,1,0,0,4.99023632844059,4.90344954989325,5.07855915724276,4.99023632844059,2
"Algeria",2010,12,0.08,0.4,0.49,"Algeria",NA,NA,9.13,0.408,0.372892710230702,0.572446476916007,0.0546608128532911,0.21009813,NA,NA,0.0356564,23.33632,379.65332,NA,NA,0,0,0,0,0,0,0,0,1,0,5.80762000001122,5.70167182084644,5.91553690291547,5.80762000001122,2
"Algeria",2015,12,0.09,0.44,0.53,"Algeria",NA,NA,9.7,0.473,0.362151859050724,0.579151043952599,0.0586970969966769,0.18592163,NA,NA,0.0396937,24.15421,375.14,NA,NA,0,0,0,0,0,0,0,0,0,1,6.45038613687574,6.3225694964567,6.58078670991541,6.45038613687574,2
"Angola",1970,24,0.05,0.97,1.02,"Angola",NA,NA,0.66,0.00599999999999994,0.58054255742117,0.393981099183411,0.0254763433954185,0.71674934,NA,NA,0.0350471,40.11174,486.20001,NA,NA,1,0,0,0,0,0,0,0,0,0,0.257454248899582,0.241073392089477,0.274948179481569,0.257454248899582,3
"Angola",1975,24,0.05,0.99,1.04,"Angola",NA,NA,0.82,0.00700000000000003,0.58458938830686,0.389888475836431,0.0255221358567083,0.66826813,NA,NA,0.0545101,50.13342,486.20001,NA,NA,0,1,0,0,0,0,0,0,0,0,0.330744679392623,0.310312740191532,0.352521919915405,0.330744679392623,3
"Angola",1980,24,0.05,1.02,1.08,"Angola",NA,NA,1.05,0.0100000000000001,0.591252938575053,0.383434583246049,0.0253124781788981,0.56009636,NA,NA,0.0384105,33.34781,486.20001,NA,NA,0,0,1,0,0,0,0,0,0,0,0.467772479236246,0.441128919983027,0.496025271567422,0.467772479236246,3
"Angola",1985,24,0.05,1.05,1.1,"Angola",NA,NA,1.32,0.0140000000000002,0.596487449582958,0.378656459255198,0.0248560911618436,0.52062386,NA,NA,0.0495714,32.09739,219.3,NA,NA,0,0,0,1,0,0,0,0,0,0,0.499223277453592,0.472842043926047,0.527076396764932,0.499223277453592,3
"Angola",1990,24,0.05,1.06,1.11,"Angola",NA,NA,1.63,0.0210000000000001,0.601299023592938,0.374466227953824,0.0242347484532377,0.42994389,NA,NA,0.0290529,29.52888,219.3,NA,NA,0,0,0,0,1,0,0,0,0,0,0.685749320431174,0.651179300377543,0.722154605036081,0.685749320431174,3
"Angola",1995,24,0.05,1.05,1.1,"Angola",NA,NA,1.89,0.028,0.601809987908988,0.374586890411461,0.0236031216795515,0.42035908,NA,NA,0.0256712,41.75324,351.95999,NA,NA,0,0,0,0,0,1,0,0,0,0,0.828252906717306,0.808516909290416,0.848470662274371,0.828252906717306,3
"Angola",2000,24,0.05,1.04,1.09,"Angola",NA,NA,2.09,0.0339999999999999,0.599897809286581,0.376917672606502,0.023184518106917,0.32594582,NA,NA,0.0260753,48.8688,303.46768,NA,NA,0,0,0,0,0,0,1,0,0,0,0.995400636536108,0.970499569639124,1.02094061472374,0.995400636536108,3
"Angola",2005,24,0.05,1.04,1.09,"Angola",0.5007516328,NA,2.25,0.04,0.599690339008653,0.37720916682851,0.0231004941628364,0.31799746,1.40836396725,1.03522714875,0.0220079,41.0124,316.20334,1.1266911738,0.5007516328,0,0,0,0,0,0,0,1,0,0,1.09289376985114,1.06645829023762,1.11998453489756,1.1266911738,3
